"ano","regiao","uf","municipio","afd1","afd2","afd3","afd4","afd5","media_aluno_turma","MIRD","aprovacao","reprovacao","abandono","superior","salario_medio","salario_medio_pad","gestao.1","gestao.2","gestao.3","gestao.4","gestao.5","gestao.6","X5LP","X5LP_SAEB","X5MT","X5MT_SAEB","X9LP","X9LP_SAEB","X9MT","X9MT_SAEB","gasto_fund"
2013,"Centro_Oeste","GO",5200050,74.34,0,15.94,2.86,6.86,25.12,2.6366169825,94.94,4.04,1.02,92.66,2340.79533333333,2426.69966666667,12.2333333333333,63.3333333333333,24.4333333333333,0,0,0,-0.662049475409836,213.510412295082,-0.456097106557377,224.472002459016,-0.0117518969072165,249.337489690722,0.00747507216494845,250.382131958763,13411507.72
2013,"Centro_Oeste","GO",5200100,69.3333333333333,0,7.43333333333333,0,23.2333333333333,21.55,2.83155121833333,93.5,4.55,1.95,75.55,2215.30333333333,2558.70333333333,0,89.6666666666667,0,10.3333333333333,0,0,-1.24211588622754,181.552595149701,-0.817518658682635,204.271307784431,0.126805631944444,256.971088194444,0.170974638888889,259.520504166667,575253.18
2013,"Centro_Oeste","GO",5200134,52.5,0,36.46,5.7,5.34,23.98,2.76587244,95.62,3.56,0.82,94.6,1970.035,2390.99433333333,22.2,55.6,0,11.1,11.1,0,-0.575263121468927,218.291760819209,-0.158088483050847,241.128398757062,-0.0607140364583333,246.64,0.12952865625,257.203991666667,29622768.3
2013,"Centro_Oeste","GO",5200159,100,0,0,0,0,19.8,1.64710449,100,0,0,100,1621.662,1621.662,100,0,0,0,0,0,-1.07450155555556,190.787030555556,-0.787525194444444,205.947716666667,-0.252248166666667,236.087746666667,-0.218014233333333,237.779003333333,NA
2013,"Centro_Oeste","GO",5200175,19.1375,0.2875,5.35,1.9875,73.2375,14.625,3.69529592375,95.35,2.575,2.075,26.5625,1568.286,1607.06966666667,48.6,20.8333333333333,9.73333333333333,0,20.8333333333333,0,-0.885408230769231,201.20482,-0.525219092307692,220.608613846154,-0.7193256,210.3548775,-0.79279935,205.6529325,10163074.76
2013,"Centro_Oeste","GO",5200209,76.4,0,23.6,0,0,15.9,2.8375286,100,0,0,100,2281.408,2401.611,0,100,0,0,0,0,-0.807203130434783,205.513404347826,-0.41490352173913,226.774404347826,-0.353244111111111,230.523537037037,0.189528740740741,260.557525925926,3625201.98
2013,"Centro_Oeste","GO",5200258,52.2439024390244,0.617073170731707,22.2951219512195,3.19024390243902,21.6536585365854,25.8926829268293,2.15343466794118,88.3707317073171,9.56585365853659,2.06341463414634,78.0390243902439,NA,NA,15.1,36.6666666666667,38.6,0,9.63333333333333,0,-1.24360083861122,181.470787458985,-0.971831342998855,195.646416959176,-0.335376337606838,231.281320352564,-0.344784640491453,231.030897702991,145505932.94
2013,"Centro_Oeste","GO",5200308,28.7470588235294,0,25.9823529411765,1.89411764705882,43.3764705882353,21.6470588235294,3.13208182777778,92.8117647058824,6.11176470588235,1.07647058823529,57.3529411764706,2484.81333333333,2536.76233333333,14.8,68.5,12.0333333333333,0,4.63333333333333,0.0333333333333333,-1.04746709053498,192.276459032922,-0.769454841563786,206.957708024691,-0.144540038834951,242.021744983819,0.00119335275080906,250.031031391586,30519201.58
2013,"Centro_Oeste","GO",5200506,NA,NA,NA,NA,NA,NA,3.23986116,NA,NA,NA,NA,2295.835,2295.835,100,0,0,0,0,0,-0.60031225,216.91171,-0.2358698,236.781025,0.471967125,275.9872,0.660824041666667,286.899316666667,1830785.36
2013,"Centro_Oeste","GO",5200555,31,0,26.6,0,42.4,23.1,2.75072856,88,8.3,3.7,88.6,3272.114,3272.114,0,50,0,0,50,0,-0.610348289473684,216.358803508772,-0.314458096491228,232.388535087719,-0.1921795,239.397125757576,0.00378145454545454,250.175690909091,21545136.9
2013,"Centro_Oeste","GO",5200605,27.18,0,49.92,4,18.9,13.88,3.24108243,86.76,11.34,1.9,75.48,2720.9065,2728.3865,16.6666666666667,50,33.3,0,0,0.0333333333333333,-1.24116309090909,181.605095151515,-0.900967863636364,199.607142424242,-0.354077982142857,230.477594642857,-0.265164339285714,235.143678571429,NA
2013,"Centro_Oeste","GO",5200803,25.12,0,38.08,0,36.8,19.08,3.51195529333333,95.9,1.06,3.04,62,1957.80863333333,1957.80863333333,47.6333333333333,39.3,0,13.0666666666667,0,0,-1.18265590052356,184.82844947644,-0.869836937172775,201.347123350785,-0.167529732142857,240.755165178571,-0.147849107142857,241.700701785714,10277921.62
2013,"Centro_Oeste","GO",5200829,49.1,0,7.7,0,43.2,8.9,4.537578455,96.48,2.92,0.6,58.18,1246.98633333333,1246.98633333333,63.9,36.1,0,0,0,0,-1.26779386956522,180.137908695652,-0.734638260869565,208.903686956522,-0.05167246,247.138138,-0.04085776,247.680692,5004573.72
2013,"Centro_Oeste","GO",5200852,53.75,0,11.65,0,34.6,22.45,3.10597773,98.15,1.3,0.55,63.2,2219.49733333333,2219.49733333333,0,50,50,0,0,0,-0.741009511111111,209.160238888889,-0.420473166666667,226.46311,-0.0386549268292683,247.855307317073,0.16458206097561,259.163212195122,6186611.52
2013,"Centro_Oeste","GO",5200902,17.7,12.85,25.7,0,43.75,10.5,2.168692435,96.6,3.4,0,52.8,2332.41633333333,2554.60833333333,50,0,0,0,50,0,-0.851371073170732,203.080046341463,-0.417715146341463,226.617263414634,0.291183220338983,266.027205084746,0.473423423728814,276.42506779661,4857011.58
