"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_abandono"
"2013","Norte","RO","1100015",0.769346976291135,0.961620584310331,0.865707166374001,0.972516019831708,0.329156347807705
"2015","Norte","RO","1100015",0.914425637627593,0.971350035210657,0.938980968967961,0.974676378055822,0.483365551498447
"2013","Norte","RO","1100023",0.717057748412073,0.976284117422628,0.804065912707154,0.977649240936369,0.505299764601298
"2015","Norte","RO","1100023",0.953107248695099,0.980914169579934,0.954082448112654,0.978977076203313,0.70255826404522
"2013","Norte","RO","1100031",0.752062610669363,0.971852099652185,0.859678889283793,0.97131193372455,0.85618318847344
"2015","Norte","RO","1100031",0.913945205726638,0.96945588493738,0.933078171527941,0.970363036282337,0.814780790332461
"2013","Norte","RO","1100049",0.750997482585573,0.970242932641403,0.845710072453736,0.97551264938893,0.783113586626083
"2015","Norte","RO","1100049",0.936319111076256,0.97724524564437,0.947351927482667,0.976735868638529,0.861505980959982
"2013","Norte","RO","1100056",0.813212890055703,0.969905250741209,0.916247059628464,0.975537066678896,0.701524668310165
"2015","Norte","RO","1100056",0.916975166103279,0.971675357256687,0.941234903441463,0.974679057585269,0.577951250468246
"2013","Norte","RO","1100064",0.787986120409084,0.97273461121118,0.897545021824107,0.976697886938905,0.830854524987778
"2015","Norte","RO","1100064",0.94498079414628,0.979606303663612,0.951829037746174,0.978054636789722,0.784626442706332
"2013","Norte","RO","1100072",0.706226820426177,0.977029041877824,0.807900860003,0.977294470496404,0.35818701675187
"2015","Norte","RO","1100072",0.935910036845727,0.977738263320768,0.945780679976671,0.977463817866805,0.32587384756852
"2015","Norte","RO","1100080",0.923755860708787,0.974325906028556,0.91009222754549,0.970858810605933,0.538413917312945
"2013","Norte","RO","1100098",0.755363218426367,0.970764916977592,0.858324441851537,0.9772332766198,0.448914693248478
"2015","Norte","RO","1100098",0.937098327047345,0.975342998894428,0.95276993434685,0.976479640963298,0.527768719377937
"2013","Norte","RO","1100106",0.705005722616354,0.964600046963697,0.794526239201965,0.968130195900944,0.681885064553673
"2015","Norte","RO","1100106",0.880123177033513,0.962679483185038,0.895750738344683,0.967733535994651,0.286028059622715
"2013","Norte","RO","1100114",0.73756539737836,0.957062522891632,0.83190970702537,0.970157958086105,0.421613600377994
"2015","Norte","RO","1100114",0.912187562948916,0.96987361192405,0.931930250808301,0.973391097033785,0.536713031558213
"2013","Norte","RO","1100122",0.769662573500524,0.967373479714952,0.876312696130498,0.975072545729508,0.769479943356417
"2015","Norte","RO","1100122",0.923305732768104,0.973867060934854,0.946002828962778,0.975814481247322,0.900961467608407
"2013","Norte","RO","1100130",0.701713566729108,0.967475992149764,0.804094907351015,0.976089223986578,0.395391523568769
"2015","Norte","RO","1100130",0.909965049828042,0.971921672406532,0.932805242510934,0.975132458859543,0.809042335185987
"2013","Norte","RO","1100148",0.793377412455738,0.972456140953141,0.888913540232347,0.977340333614276,0.840699545646083
"2015","Norte","RO","1100148",0.954039820429008,0.979256185689674,0.966586418822172,0.980127766923304,0.717758748103491
"2013","Norte","RO","1100155",0.772782511685187,0.97029840595254,0.873127431366269,0.975425118205562,0.262235041990837
"2015","Norte","RO","1100155",0.950135291706008,0.977877721347251,0.959357131839527,0.97808257497766,0.468208827747623
"2013","Norte","RO","1100189",0.780242470659285,0.970999807983958,0.882720964662325,0.975156607357131,0.333075469322238
"2015","Norte","RO","1100189",0.948026323974361,0.977269502940644,0.960896980071874,0.978758473930516,0.480057900070463
"2013","Norte","RO","1100205",0.690032630754678,0.965248857885676,0.772942823031919,0.972257747391743,0.345367515232517
"2015","Norte","RO","1100205",0.930179379253467,0.976850627128982,0.938652058405146,0.976410076876215,0.408368880385439
"2013","Norte","RO","1100254",0.786374061240556,0.97654020218983,0.895364869369797,0.978828066888659,0.583006941020085
"2015","Norte","RO","1100254",0.938185909096832,0.977936308759869,0.957399951159025,0.978917707406884,0.415306135032321
"2013","Norte","RO","1100262",0.662607796375001,0.963195711116208,0.76125246453439,0.9645298294372,0.204730310706887
"2013","Norte","RO","1100288",0.757772096773209,0.972837059954316,0.846369185086238,0.974174204197911,0.731165184269201
"2015","Norte","RO","1100288",0.965853087781721,0.981917547639214,0.961555049397186,0.978749369689841,0.818635198122644
"2013","Norte","RO","1100296",0.771461443325768,0.970775161629424,0.882859225548685,0.976886622149636,0.881122605690697
"2015","Norte","RO","1100296",0.956025878474158,0.981077509915652,0.959041573165805,0.978969943422482,0.906876355079151
