"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_aband"
"2013","Norte","RO","1100015",0.87135297877967,0.900653920231168,0.922686977803639,0.939897307333279,0.336001095047827
"2015","Norte","RO","1100015",0.960658726845862,0.932291140209362,0.962892987444068,0.961089533745379,0.506519441599634
"2013","Norte","RO","1100023",0.806027227451221,0.943950450410977,0.856951359706507,0.962258521872764,0.475768725760434
"2015","Norte","RO","1100023",0.967948100386207,0.962414662897437,0.968588432504444,0.977942748245823,0.669453958215894
"2013","Norte","RO","1100031",0.847356467316082,0.958753570309702,0.892803084378185,0.996952284734936,0.869609575679214
"2015","Norte","RO","1100031",0.959569905139992,0.954052785614058,0.950841242687418,0.996419948705186,0.833138032750167
"2013","Norte","RO","1100049",0.826540215344371,0.932040455900765,0.885613611690908,0.955518813564222,0.779171553338399
"2015","Norte","RO","1100049",0.959664478791334,0.959874934823661,0.960157327154625,0.985753676830686,0.857271273841338
"2013","Norte","RO","1100056",0.898705973103937,0.941531164850329,0.94438429028877,0.972990578773469,0.71717257276484
"2015","Norte","RO","1100056",0.958966059217283,0.942757150282503,0.960696007169868,0.969054348389831,0.594598245830853
"2013","Norte","RO","1100064",0.876359320874013,0.944483473273069,0.933364389147675,0.977618135406482,0.85011009943183
"2015","Norte","RO","1100064",0.962709441750107,0.960926742336073,0.963929689387842,0.976778083185592,0.804502312744688
"2013","Norte","RO","1100072",0.798766274462498,0.946489639719466,0.865345757075512,0.955737935843765,0.377408053512586
"2015","Norte","RO","1100072",0.965192509797532,0.946465704209395,0.967071382881216,0.947658576619621,0.341156006571343
"2015","Norte","RO","1100080",0.956992585392008,0.934587129639353,0.940212523532986,0.932776329762022,0.531863298139961
"2013","Norte","RO","1100098",0.810125919778271,0.957002478619251,0.868068501186995,0.992798304423702,0.454768703417073
"2015","Norte","RO","1100098",0.955547610177506,0.962107064997357,0.958709760061889,0.991230342018898,0.544852246983698
"2013","Norte","RO","1100106",0.79978833849071,0.921682806137611,0.846241185231686,0.966375652446735,0.70186431507174
"2015","Norte","RO","1100106",0.932971151962661,0.923374296593606,0.922446019186466,0.961929062723225,0.286659389489964
"2013","Norte","RO","1100114",0.837533252052572,0.897673163101218,0.890986466391355,0.93979703205375,0.426713601899413
"2015","Norte","RO","1100114",0.959463183620127,0.928474410513675,0.959223779382954,0.953168888516771,0.548423219293492
"2013","Norte","RO","1100122",0.860589959093802,0.927958668885249,0.921877515995963,0.968591449371477,0.78225814312217
"2015","Norte","RO","1100122",0.958524411852028,0.954229337970468,0.961290251404636,0.990983560592889,0.90282558830305
"2013","Norte","RO","1100130",0.798144925995665,0.911985959826303,0.866362048940057,0.939517603083837,0.412810552902668
"2015","Norte","RO","1100130",0.960006093988587,0.923271672970763,0.963207590146037,0.940632036391532,0.825709481740845
